 12    2.075000      6.6226     17.4224     16.7096     17.9692     18.0107     18.4854     18.5504     18.2516     18.3160     18.0792     18.0796     18.0987
 12    2.125000      6.8118     17.2693     17.8378     19.1315     19.1782     19.3059     19.3705     18.2335     18.2933     19.0455     19.0460     19.0660
 12    2.175000      7.0012     17.5551     18.7406     19.7324     19.1710     19.7241     19.7855     19.7415     19.8020     19.7747     19.7752     19.7962
 12    2.225000      7.1909     16.5918     18.9800     19.7311     19.7756     19.4888     20.2714     19.4763     20.2881     19.7407     19.7411     19.7600
 12    2.275000      7.3807     17.3189     18.5151     19.6852     19.7241     20.1079     20.0730     20.1748     20.4021     20.3746     20.3751     20.3960
 12    2.325000      7.5709     19.1045     19.1344     20.4069     20.4465     20.5075     20.6329     21.3067     20.6759     20.5559     20.5563     20.5767
 12    2.375000      7.7612     18.4600     21.7064     21.8976     21.9454     20.4003     21.7102     21.1428     20.9117     21.4628     21.4633     21.4829
 12    2.425000      7.9517     19.8292     20.7978     21.6222     21.6648     22.1844     22.3885     23.0118     23.0784     22.3775     22.3780     22.3992
 12    2.475000      8.1420     19.6496     21.0480     22.9252     22.9696     22.9084     22.9690     22.8709     22.9852     23.4350     23.4355     23.4568
 12    2.525000      8.3330     22.3178     21.8801     22.5077     22.5494     23.5001     23.6788     24.3214     24.3860     22.5411     22.5416     22.5621
 12    2.575000      8.5242     19.7633     21.9599     22.7147     22.7572     23.2372     22.9196     24.0552     24.1188     25.2732     25.2738     25.2972
 12    2.625000      8.7151     21.2131     23.5262     24.3112     24.3559     23.5206     23.8601     23.1079     23.5909     23.8461     23.8466     23.8670
 12    2.675000      8.9066     20.7170     23.9815     25.9515     26.0007     25.4990     25.5670     24.4423     25.5845     25.5539     25.5545     25.5773
 12    2.725000      9.0979     24.0708     24.9060     25.0754     25.1200     25.0370     25.2931     26.0723     26.0977     24.7415     24.7419     24.7624
 12    2.775000      9.2895     21.7390     24.5685     25.2488     25.2978     24.8278     25.0913     25.5746     25.6366     26.3274     26.3279     26.3509
 12    2.825000      9.4811     25.1780     25.8164     26.6443     26.6919     25.9137     26.4071     25.9292     26.4845     26.4552     26.4557     26.1014
