C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00024      0.00000      0.00000	  0.00012      0.00000      0.00000
         2      0.00260      0.00008      0.00000	  0.00106      0.00003      0.00000
         3      0.00943      0.00269      0.00000	  0.00340      0.00075      0.00000
         4      0.02245      0.01073      0.00000	  0.00730      0.00277      0.00000
         5      0.04239      0.02578      0.00000	  0.01283      0.00641      0.00000
         6      0.06921      0.04803      0.00000	  0.01994      0.01170      0.00000
         7      0.10240      0.07705      0.00000	  0.02858      0.01859      0.00000
         8      0.14127      0.11222      0.00000	  0.03867      0.02706      0.00000
         9      0.18504      0.15277      0.00000	  0.05012      0.03706      0.00000
        10      0.23296      0.19787      0.00000	  0.06288      0.04845      0.00000
        11      0.28439      0.24679      0.00000	  0.07685      0.06116      0.00000
        12      0.33878      0.29891      0.00000	  0.09196      0.07512      0.00000
        13      0.39544      0.35376      0.00000	  0.10804      0.09022      0.00000
        14      0.45111      0.41092      0.00000	  0.12358      0.10642      0.00000
        15      0.50367      0.46981      0.00000	  0.13806      0.12354      0.00000
        16      0.55262      0.52292      0.00000	  0.15182      0.13869      0.00000
        17      0.59753      0.57052      0.00000	  0.16517      0.15266      0.00000
        18      0.63833      0.61340      0.00000	  0.17834      0.16620      0.00000
        19      0.67516      0.65192      0.00000	  0.19146      0.17957      0.00000
        20      0.70824      0.68641      0.00000	  0.20459      0.19289      0.00000
        21      0.73786      0.71727      0.00000	  0.21774      0.20621      0.00000
        22      0.76435      0.74482      0.00000	  0.23092      0.21953      0.00000
        23      0.78798      0.76938      0.00000	  0.24405      0.23283      0.00000
        24      0.80912      0.79135      0.00000	  0.25712      0.24606      0.00000
        25      0.82801      0.81099      0.00000	  0.27010      0.25920      0.00000
        26      0.84492      0.82856      0.00000	  0.28295      0.27219      0.00000
        27      0.86008      0.84434      0.00000	  0.29563      0.28503      0.00000
        28      0.87367      0.85847      0.00000	  0.30813      0.29768      0.00000
        29      0.88591      0.87121      0.00000	  0.32043      0.31013      0.00000
        30      0.89689      0.88265      0.00000	  0.33250      0.32236      0.00000
        31      0.90678      0.89299      0.00000	  0.34436      0.33437      0.00000
        32      0.91583      0.90244      0.00000	  0.35601      0.34617      0.00000
        33      0.92397      0.91095      0.00000	  0.36737      0.35767      0.00000
        34      0.93132      0.91864      0.00000	  0.37850      0.36894      0.00000
        35      0.93810      0.92575      0.00000	  0.38939      0.37997      0.00000
        36      0.94426      0.93220      0.00000	  0.40003      0.39076      0.00000
        37      0.94995      0.93820      0.00000	  0.41045      0.40131      0.00000
        38      0.95507      0.94359      0.00000	  0.42058      0.41157      0.00000
        39      0.95981      0.94860      0.00000	  0.43049      0.42161      0.00000
        40      0.96422      0.95327      0.00000	  0.44015      0.43141      0.00000
        41      0.96825      0.95754      0.00000	  0.44960      0.44100      0.00000
        42      0.97199      0.96151      0.00000	  0.45880      0.45033      0.00000
        43      0.97542      0.96516      0.00013	  0.46776      0.45941      0.00002
        44      0.97860      0.96856      0.00049	  0.47652      0.46829      0.00007
        45      0.98154      0.97169      0.00118	  0.48502      0.47691      0.00019
        46      0.98439      0.97471      0.00228	  0.49335      0.48535      0.00040
        47      0.98701      0.97751      0.00389	  0.50147      0.49357      0.00070
        48      0.98941      0.98008      0.00606	  0.50938      0.50159      0.00112
        49      0.99174      0.98257      0.00882	  0.51714      0.50945      0.00168
        50      0.99382      0.98482      0.01223	  0.52465      0.51705      0.00239
        51      0.99587      0.98701      0.01628	  0.53199      0.52449      0.00326
        52      0.99772      0.98901      0.02101	  0.53914      0.53174      0.00429
        53      0.99947      0.99091      0.02644	  0.54612      0.53881      0.00551
        54      1.00115      0.99272      0.03256	  0.55295      0.54573      0.00691
        55      1.00276      0.99445      0.03938	  0.55961      0.55248      0.00851
        56      1.00428      0.99610      0.04689	  0.56611      0.55907      0.01031
        57      1.00572      0.99767      0.05510	  0.57246      0.56549      0.01232
        58      1.00711      0.99917      0.06397	  0.57866      0.57178      0.01453
        59      1.00840      1.00058      0.07348	  0.58472      0.57793      0.01697
        60      1.00962      1.00191      0.08367	  0.59063      0.58391      0.01962
        61      1.01084      1.00324      0.09446	  0.59645      0.58980      0.02247
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
