1   1   12   16 
1  0.002   0.626269   0.632819
1  0.01   0.638892   0.643452
1  0.02   0.642925   0.64766
1  0.03   0.647727   0.653236
1  0.04   0.653175   0.659117
1  0.05   0.65959   0.665646
1  0.06   0.666635   0.672923
1  0.07   0.674285   0.680734
1  0.08   0.682225   0.68889
1  0.09   0.690587   0.697377
1  0.1   0.699356   0.706198
1  0.11   0.708483   0.71539
1  0.12   0.717956   0.724927
1  0.13   0.727751   0.734747
1  0.14   0.73768   0.744773
1  0.15   0.747767   0.754885
1  0.16   0.757979   0.76509
1  0.17   0.768333   0.775408
1  0.18   0.778825   0.785833
1  0.19   0.789436   0.796351
1  0.2   0.80013   0.806935
1  0.21   0.810863   0.817552
1  0.22   0.821606   0.828159
1  0.23   0.83233   0.838715
1  0.24   0.843031   0.849213
1  0.25   0.85371   0.859658
1  0.26   0.864363   0.87004
1  0.27   0.874979   0.880346
1  0.28   0.885541   0.890549
1  0.29   0.896029   0.900629
1  0.3   0.906448   0.910592
1  0.31   0.916804   0.920459
1  0.32   0.927103   0.930237
1  0.33   0.937351   0.939939
1  0.34   0.947555   0.949577
1  0.35   0.957725   0.959166
1  0.36   0.967869   0.968721
1  0.37   0.97798   0.978238
1  0.38   0.98805   0.987711
1  0.39   0.998067   0.997137
1  0.4   1.00802   1.00651
1  0.41   1.01791   1.01582
1  0.42   1.02771   1.02506
1  0.43   1.03743   1.03423
1  0.44   1.04703   1.04331
1  0.45   1.05653   1.05228
1  0.46   1.06589   1.06116
1  0.47   1.07513   1.06991
1  0.48   1.08422   1.07855
1  0.49   1.09316   1.08705
1  0.5   1.10194   1.0954
1  0.51   1.11055   1.10362
1  0.52   1.11899   1.11167
1  0.53   1.12726   1.11957
1  0.54   1.13534   1.1273
1  0.55   1.14325   1.13487
1  0.56   1.15097   1.14227
1  0.57   1.15851   1.1495
1  0.58   1.16586   1.15656
1  0.59   1.17303   1.16344
1  0.6   1.18001   1.17015
1  0.61   1.18681   1.1767
1  0.62   1.19342   1.18307
1  0.63   1.19986   1.18928
1  0.64   1.20611   1.19531
1  0.65   1.21219   1.20118
1  0.66   1.21809   1.20688
1  0.67   1.22382   1.21242
1  0.68   1.22938   1.2178
1  0.69   1.23478   1.22302
1  0.7   1.24001   1.22809
1  0.71   1.24509   1.233
1  0.72   1.25   1.23777
1  0.73   1.25477   1.24239
1  0.74   1.25938   1.24686
1  0.75   1.26385   1.25119
1  0.76   1.26817   1.25538
1  0.77   1.27235   1.25944
1  0.78   1.27639   1.26336
1  0.79   1.2803   1.26715
1  0.8   1.28408   1.27081
1  0.81   1.28772   1.27434
1  0.82   1.29124   1.27776
1  0.83   1.29463   1.28104
1  0.84   1.2979   1.28421
1  0.85   1.30105   1.28727
1  0.86   1.30409   1.29021
1  0.87   1.30701   1.29304
1  0.88   1.30982   1.29576
1  0.89   1.31252   1.29838
1  0.9   1.31511   1.30088
1  0.91   1.3176   1.30329
1  0.92   1.31999   1.30559
1  0.93   1.32227   1.3078
1  0.94   1.32446   1.30991
1  0.95   1.32655   1.31192
1  0.96   1.32854   1.31383
1  0.97   1.33044   1.31565
1  0.98   1.33225   1.31738
1  0.99   1.33397   1.31902
1  1   1.3356   1.32058
1  1.01   1.33715   1.32204
1  1.02   1.3386   1.32343
1  1.03   1.33998   1.32472
1  1.04   1.34126   1.32594
1  1.05   1.34247   1.32707
1  1.06   1.34358   1.32811
1  1.07   1.34461   1.32907
1  1.08   1.34557   1.32995
1  1.09   1.34643   1.33075
1  1.1   1.34723   1.33146
1  1.11   1.34794   1.33211
1  1.12   1.34858   1.33267
1  1.13   1.34914   1.33316
1  1.14   1.34962   1.33357
1  1.15   1.35002   1.3339
1  1.16   1.35035   1.33415
1  1.17   1.3506   1.33433
1  1.18   1.35078   1.33443
1  1.19   1.35088   1.33445
1  1.2   1.35091   1.3344
1  1.21   1.35086   1.33428
1  1.22   1.35074   1.33408
1  1.23   1.35055   1.33381
1  1.24   1.35028   1.33346
1  1.25   1.34994   1.33304
1  1.26   1.34953   1.33255
1  1.27   1.34904   1.33199
1  1.28   1.34849   1.33135
1  1.29   1.34786   1.33065
1  1.3   1.34716   1.32987
1  1.31   1.3464   1.32903
1  1.32   1.34556   1.32811
1  1.33   1.34466   1.32713
1  1.34   1.34368   1.32608
1  1.35   1.34264   1.32497
1  1.36   1.34152   1.32378
1  1.37   1.34034   1.32253
1  1.38   1.33908   1.32121
1  1.39   1.33776   1.31983
1  1.4   1.33636   1.31838
1  1.41   1.3349   1.31687
1  1.42   1.33337   1.31529
1  1.43   1.33177   1.31366
1  1.44   1.33011   1.31196
1  1.45   1.32838   1.31021
1  1.46   1.32659   1.3084
1  1.47   1.32474   1.30654
1  1.48   1.32283   1.30464
1  1.49   1.32086   1.30268
1  1.5   1.31883   1.30069
1  1.51   1.31675   1.29865
1  1.52   1.31463   1.29658
1  1.53   1.31245   1.29447
1  1.54   1.31024   1.29234
1  1.55   1.30798   1.29018
1  1.56   1.30569   1.288
1  1.57   1.30337   1.2858
1  1.58   1.30103   1.28359
1  1.59   1.29866   1.28138
1  1.6   1.29628   1.27917
1  1.61   1.29389   1.27696
1  1.62   1.2915   1.27476
1  1.63   1.2891   1.27257
1  1.64   1.2867   1.27038
1  1.65   1.2843   1.26821
1  1.66   1.28191   1.26604
1  1.67   1.27953   1.26389
1  1.68   1.27715   1.26175
1  1.69   1.2748   1.25963
1  1.7   1.27246   1.25753
1  1.71   1.27014   1.25544
1  1.72   1.26785   1.25338
1  1.73   1.26557   1.25133
