C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        92      1.10088      1.09738      0.66480	  0.94876      0.94534      0.53663
        93      1.10141      1.09798      0.67204	  0.95238      0.94904      0.54592
        94      1.10177      1.09844      0.67884	  0.95589      0.95263      0.55485
        95      1.10197      1.09869      0.68543	  0.95913      0.95592      0.56354
        96      1.10218      1.09898      0.69177	  0.96223      0.95911      0.57189
        97      1.10238      1.09923      0.69788	  0.96521      0.96214      0.57997
        98      1.10272      1.09964      0.70392	  0.96813      0.96513      0.58782
        99      1.10294      1.09993      0.70975	  0.97084      0.96788      0.59542
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00045      0.00000      0.00000	  0.00035      0.00000      0.00000
        14      0.00575      0.00000      0.00000	  0.00361      0.00000      0.00000
        15      0.01729      0.00021      0.00000	  0.00934      0.00009      0.00000
        16      0.03506      0.01001      0.00000	  0.01681      0.00383      0.00000
        17      0.05901      0.02827      0.00000	  0.02561      0.01006      0.00000
        18      0.08883      0.05343      0.00000	  0.03549      0.01779      0.00000
        19      0.12412      0.08482      0.00000	  0.04623      0.02670      0.00000
        20      0.16442      0.12164      0.00000	  0.05777      0.03655      0.00000
        21      0.20916      0.16334      0.00000	  0.07003      0.04724      0.00000
        22      0.25783      0.20929      0.00000	  0.08295      0.05869      0.00000
        23      0.31004      0.25894      0.00000	  0.09652      0.07086      0.00000
        24      0.36523      0.31188      0.00000	  0.11074      0.08376      0.00000
        25      0.42309      0.36759      0.00000	  0.12562      0.09734      0.00000
        26      0.48323      0.42578      0.00000	  0.14113      0.11163      0.00000
        27      0.54539      0.48606      0.00000	  0.15726      0.12658      0.00000
        28      0.60932      0.54827      0.00000	  0.17402      0.14219      0.00000
        29      0.67475      0.61211      0.00000	  0.19140      0.15848      0.00000
        30      0.74155      0.67741      0.00000	  0.20938      0.17542      0.00000
        31      0.80951      0.74394      0.00000	  0.22792      0.19294      0.00000
        32      0.87837      0.81147      0.00000	  0.24702      0.21104      0.00000
        33      0.94819      0.88003      0.00000	  0.26672      0.22980      0.00000
        34      1.01885      0.94945      0.00000	  0.28696      0.24912      0.00000
        35      1.09004      1.01943      0.00000	  0.30769      0.26897      0.00000
        36      1.16187      1.09022      0.00000	  0.32893      0.28937      0.00000
        37      1.23412      1.16142      0.00000	  0.35064      0.31024      0.00000
        38      1.30695      1.23316      0.00000	  0.37285      0.33164      0.00000
        39      1.38013      1.30540      0.00000	  0.39553      0.35352      0.00000
        40      1.45358      1.37778      0.00000	  0.41862      0.37581      0.00000
        41      1.52738      1.45078      0.00000	  0.44211      0.39858      0.00000
        42      1.60145      1.52388      0.00000	  0.46604      0.42175      0.00000
        43      1.67576      1.59741      0.00000	  0.49037      0.44540      0.00000
        44      1.75026      1.67095      0.00000	  0.51506      0.46937      0.00000
        45      1.82497      1.74504      0.00000	  0.54014      0.49385      0.00000
        46      1.89974      1.81894      0.00000	  0.56554      0.51860      0.00000
        47      1.97461      1.89326      0.00000	  0.59127      0.54376      0.00000
        48      2.04970      1.96758      0.00000	  0.61734      0.56921      0.00000
        49      2.12478      2.04197      0.00000	  0.64367      0.59496      0.00000
        50      2.20005      2.11665      0.00000	  0.67037      0.62111      0.00000
        51      2.27533      2.19118      0.00000	  0.69734      0.64750      0.00000
        52      2.35069      2.26604      0.00000	  0.72458      0.67424      0.00000
        53      2.42613      2.34086      0.00000	  0.75212      0.70125      0.00000
        54      2.50158      2.41564      0.00000	  0.77988      0.72847      0.00000
        55      2.57704      2.49056      0.00000	  0.80788      0.75598      0.00000
        56      2.65251      2.56555      0.00000	  0.83613      0.78375      0.00000
        57      2.72799      2.64038      0.00000	  0.86460      0.81170      0.00000
        58      2.80348      2.71521      0.00000	  0.89329      0.83988      0.00000
        59      2.87899      2.79042      0.00000	  0.92217      0.86837      0.00000
        60      2.95453      2.86544      0.00000	  0.95129      0.89702      0.00000
        61      3.02997      2.94030      0.00000	  0.98055      0.92582      0.00000
C DATA from 6.5 GeV to 25.0GeV(0.5GeV step,38bins)	  
        62      3.02997      2.94030      0.00000	  0.98055      0.92582      0.00000
        63      3.40761      3.31549      0.00000	  1.12979      1.07292      0.00000
        64      3.78465      3.69036      0.01878	  1.28293      1.22412      0.00097
        65      4.16113      4.06507      0.07222	  1.43939      1.37889      0.00602
        66      4.53677      4.43928      0.14579	  1.59859      1.53666      0.01622
        67      4.91174      4.81290      0.23530	  1.76016      1.69696      0.03191
        68      5.28593      5.18553      0.33835	  1.92377      1.85929      0.05315
        69      5.65926      5.55801      0.45331	  2.08910      2.02364      0.07987
        70      6.03183      5.92917      0.57886	  2.25591      2.18938      0.11187
        71      6.40351      6.30038      0.71404	  2.42391      2.35663      0.14891
        72      6.77459      6.67021      0.85809	  2.59307      2.52485      0.19076
        73      7.14492      7.04014      1.01012	  2.76323      2.69439      0.23716
        74      7.51437      7.40880      1.16955	  2.93417      2.86461      0.28785
        75      7.88314      7.77648      1.33580	  3.10577      3.03547      0.34257
        76      8.25137      8.14461      1.50843	  3.27815      3.20738      0.40114
        77      8.61899      8.51167      1.68697	  3.45106      3.37976      0.46327
        78      8.98582      8.87770      1.87099	  3.62448      3.55260      0.52881
        79      9.35217      9.24307      2.06027	  3.79833      3.72583      0.59754
        80      9.71789      9.60906      2.25414	  3.97256      3.89980      0.66926
        81     10.08314      9.97390      2.45286	  4.14715      4.07396      0.74390
        82     10.44773     10.33784      2.65546	  4.32209      4.24840      0.82116
        83     10.81177     10.70116      2.86228	  4.49720      4.42308      0.90100
        84     11.17549     11.06411      3.07289	  4.67269      4.59811      0.98330
        85     11.53851     11.42772      3.28696	  4.84823      4.77358      1.06781
        86     11.90112     11.79007      3.50435	  5.02412      4.94914      1.15453
        87     12.26339     12.15207      3.72513	  5.20013      5.12490      1.24334
        88     12.62497     12.51320      3.94877	  5.37628      5.30068      1.33406
        89     12.98628     12.87390      4.17528	  5.55260      5.47663      1.42671
        90     13.34695     13.23390      4.40448	  5.72884      5.65250      1.52103
        91     13.70750     13.59384      4.63646	  5.90551      5.82884      1.61721
        92     14.06759     13.95469      4.87072	  6.08212      6.00547      1.71488
        93     14.42705     14.31424      5.10727	  6.25877      6.18197      1.81413
        94     14.78625     14.67325      5.34631	  6.43544      6.35841      1.91488
        95     15.14528     15.03203      5.58738	  6.61235      6.53510      2.01700
        96     15.50388     15.39026      5.83046	  6.78930      6.71178      2.12053
        97     15.86212     15.74821      6.07562	  6.96627      6.88858      2.22540
        98     16.21989     16.10555      6.32238	  7.14327      7.06531      2.33144
        99     16.57741     16.46245      6.57104	  7.32038      7.24211      2.43871
C DATA from 25.0GeV to 50.0GeV(1.0GeV step,26bins)	  
       100     16.57741     16.46245      6.57104	  7.32038      7.24211      2.43871
       101     17.29116     17.17518      7.07344	  7.67425      7.59547      2.65654
       102     18.00403     17.88901      7.58230	  8.02864      7.94985      2.87882
       103     18.71551     18.60071      8.09698	  8.38283      8.30389      3.10492
       104     19.42583     19.31081      8.61721	  8.73724      8.65801      3.33485
       105     20.13515     20.01966      9.14207	  9.09158      9.01201      3.56813
       106     20.84324     20.72701      9.67155	  9.44581      9.36585      3.80447
       107     21.55040     21.43361     10.20596	  9.80001      9.71974      4.04402
       108     22.25663     22.13895     10.74404	 10.15444     10.07370      4.28636
       109     22.96161     22.84317     11.28579	 10.50835     10.42730      4.53113
       110     23.66602     23.54658     11.83141	 10.86264     10.78114      4.77867
       111     24.36923     24.25183     12.38022	 11.21640     11.13538      5.02835
       112     25.07170     24.95475     12.93230	 11.57042     11.48935      5.28041
       113     25.77356     25.65672     13.48731	 11.92436     11.84316      5.53453
       114     26.47437     26.35753     14.04466	 12.27827     12.19696      5.79066
       115     27.17447     27.05750     14.60500	 12.63192     12.55046      6.04861
       116     27.87366     27.75641     15.16787	 12.98557     12.90385      6.30844
       117     28.57234     28.45475     15.73316	 13.33917     13.25731      6.57010
       118     29.27005     29.15218     16.30036	 13.69242     13.61035      6.83308
       119     29.96686     29.84860     16.86936	 14.04575     13.96348      7.09781
       120     30.66321     30.54434     17.44118	 14.39870     14.31612      7.36400
       121     31.35918     31.23975     18.01428	 14.75194     14.66915      7.63157
       122     32.05449     31.93459     18.58949	 15.10526     15.02225      7.90062
       123     32.74901     32.62861     19.16657	 15.45816     15.37497      8.17096
       124     33.44253     33.32135     19.74479	 15.81077     15.72724      8.44245
       125     34.13584     34.01408     20.32491	 16.16375     16.08003      8.71530
C DATA from 50.0GeV to100GeV(1.0GeV step,11bins)	  
       126     34.13584     34.01408     20.32491	 16.16375     16.08003      8.71530
       127     37.59293     37.47326     23.24639	 17.92565     17.84212     10.09544
       128     41.03706     40.91884     26.19810	 19.68569     19.60220     11.49987
       129     44.46822     44.35002     29.17332	 21.44275     21.35895     12.92398
       130     47.88824     47.76908     32.16851	 23.19791     23.11350     14.36571
       131     51.29757     51.17750     35.18040	 24.95059     24.86579     15.82218
       132     54.69761     54.57580     38.20583	 26.70163     26.61606     17.29151
       133     58.08831     57.96469     41.24300	 28.45073     28.36454     18.77206
       134     61.47039     61.34463     44.29001	 30.19797     30.11096     20.26313
       135     64.84400     64.71623     47.34457	 31.94313     31.85571     21.76272
       136     68.21035     68.07995     50.40655	 33.68711     33.59888     23.27093
C DATA from 100GeV to2500GeV(100GeV step,25bins)	  
       137     68.21035     68.07995     50.40655	 33.68711     33.59888     23.27093
       138    134.28994    134.18449    112.21431	 68.28579     68.20293     54.39564
       139    198.66566    198.56525    173.92585	102.51116    102.42854     86.30716
       140    261.76105    261.66138    235.05327	136.43994    136.35665    118.45998
       141    323.81937    323.72037    295.53688	170.14410    170.06077    150.69974
       142    384.93649    384.83736    355.31574	203.61957    203.53554    182.90780
       143    445.22136    445.11982    414.45756	236.90586    236.81937    215.09445
       144    504.64860    504.54753    472.87009	269.92687    269.84046    247.12554
       145    563.42551    563.32299    530.72728	302.84781    302.75983    279.13140
       146    621.52593    621.42728    588.01121	335.60942    335.52462    311.07703
       147    678.93068    678.82860    644.65900	368.16710    368.07905    342.87537
       148    735.66728    735.56683    700.70331	400.52058    400.43377    374.52518
       149    791.76358    791.66023    756.16111	432.67815    432.58857    406.02693
       150    847.25168    847.14543    811.05138	464.65208    464.55973    437.38137
       151    902.15506    902.05618    865.38034	496.44799    496.36214    468.58197
       152    956.49730    956.39637    919.17846	528.07587    527.98804    499.64389
       153   1010.38430   1010.28128    972.53761	559.62441    559.53454    530.63527
       154   1063.86548   1063.76040   1025.53724	591.13045    591.03860    561.62780
       155   1116.84247   1116.73537   1078.07157	622.48422    622.39040    592.50235
       156   1169.33101   1169.23164   1130.15439	653.68745    653.60059    623.26849
       157   1221.34330   1221.24253   1181.79014	684.74427    684.65603    653.91631
       158   1272.88170   1272.77953   1232.95195	715.64732    715.55771    684.41704
       159   1323.96501   1323.86144   1283.68391	746.40231    746.31132    714.78718
       160   1374.59935   1374.49439   1333.96324	777.00852    776.91617    745.01556
       161   1424.79895   1424.69261   1383.87290	807.47127    807.37757    775.14649
C DATA from 2.5 TeV to 20TeV(500GeV step,36bins)	  
         1   1424.79895   1424.69261   1383.87290	   807.47127    807.37757    775.14649
         2   1669.62041   1669.52366   1627.33205	   957.70326    957.61811    923.85306
         3   1905.01583   1904.91584   1861.59037	  1104.71684   1104.62839   1069.57421
         4   2131.95985   2131.85677   2087.61912	  1248.76766   1248.67605   1212.54201
         5   2351.24794   2351.14185   2306.18680	  1390.06368   1389.96902   1352.94928
         6   2563.54104   2563.43204   2517.89306	  1528.77326   1528.67564   1490.91011
         7   2769.40301   2769.29115   2723.20661	  1665.04141   1664.94089   1626.48907
         8   2969.32359   2969.22865   2922.75797	  1798.99774   1798.91311   1759.92072
         9   3163.73048   3163.63486   3116.73002	  1930.75785   1930.67242   1891.11545
        10   3353.00172   3352.90548   3305.64836	  2060.42560   2060.33943   2020.30154
        11   3537.47231   3537.37551   3489.77869	  2188.09677   2188.00994   2147.51005
        12   3717.44417   3717.34685   3669.49899	  2313.85909   2313.77164   2272.90186
        13   3893.18770   3893.08991   3845.07152	  2437.79318   2437.70515   2396.53312
        14   4064.94848   4064.85025   4016.67008	  2559.97453   2559.88596   2518.44011
        15   4232.94873   4232.85009   4184.47379	  2680.47252   2680.38345   2638.63307
        16   4397.39146   4397.29243   4348.65999	  2799.35206   2799.26253   2757.17381
        17   4558.46205   4558.36265   4509.57232	  2916.67389   2916.58390   2874.24042
        18   4716.33101   4716.23129   4667.31542	  3032.49478   3032.40438   2989.84873
        19   4871.15455   4871.05452   4821.94619	  3146.86751   3146.77672   3103.94611
        20   5023.07710   5022.97678   4973.88822	  3259.84170   3259.75054   3216.84804
        21   5172.23303   5172.13243   5122.80627	  3371.46506   3371.37354   3328.15858
        22   5318.74575   5318.64489   5269.32553	  3481.78130   3481.68945   3438.40156
        23   5462.73080   5462.62970   5413.25227	  3590.83253   3590.74036   3547.30078
        24   5604.29539   5604.19405   5554.44911	  3698.65840   3698.56593   3654.73927
        25   5743.53990   5743.43836   5693.96400	  3805.29655   3805.20379   3761.53413
        26   5880.55782   5880.45606   5830.56434	  3910.78245   3910.68942   3866.56696
        27   6015.43690   6015.33493   5965.64712	  4015.14998   4015.05669   3971.04981
        28   6148.25956   6148.15740   6098.16971	  4118.43142   4118.33788   4073.99303
        29   6279.10268   6279.00036   6229.13529	  4220.65699   4220.56321   4176.26561
        30   6408.03909   6407.93659   6357.91503	  4321.85592   4321.76191   4277.24827
        31   6535.13717   6535.03450   6485.06073	  4422.05591   4421.96166   4377.45637
        32   6660.46192   6660.35910   6610.33603	  4521.28385   4521.18940   4476.56568
        33   6784.07439   6783.97142   6733.75160	  4619.56510   4619.47044   4574.61022
        34   6906.03178   6905.92867   6855.87107	  4716.92335   4716.82850   4672.05394
        35   7026.38864   7026.28539   6976.07620	  4813.38173   4813.28667   4768.32392
        36   7145.19716   7145.09379   7094.75965	  4908.96279   4908.86756   4863.75033
C DATA from 20 TeV to 50 TeV(1TeV step,31bins)	  
        37   7145.19716   7145.09379   7094.75965	  4908.96279   4908.86756   4863.75033
        38   7378.36296   7378.25935   7327.99749	  5097.57702   5097.48145   5052.33597
        39   7605.89511   7605.79128   7555.52288	  5282.92756   5282.83167   5237.57536
        40   7828.12327   7828.01923   7777.80407	  5465.16169   5465.06549   5419.78175
        41   8045.34841   8045.24418   7994.78766	  5644.41703   5644.32056   5598.72927
        42   8257.84531   8257.74092   8207.15195	  5820.82156   5820.72483   5774.91198
        43   8465.86358   8465.75902   8415.51711	  5994.49246   5994.39549   5948.86372
        44   8669.63365   8669.52895   8619.05444	  6165.54038   6165.44318   6119.59289
        45   8869.36813   8869.26328   8818.48070	  6334.06920   6333.97178   6287.80710
        46   9065.26194   9065.15697   9014.48993	  6500.17497   6500.07735   6453.93373
        47   9257.49551   9257.39042   9206.95265	  6663.94791   6663.85010   6617.88609
