0.11	-1	0	0
0.11	-1	0.010894	1.85019
0.11	-1	0.0195157	5.66166
0.11	-1	0.0266514	9.757
0.11	-1	0.0327387	13.2475
0.11	-1	0.0380466	15.0247
0.11	-1	0.0427523	16.0021
0.11	-1	0.0469786	16.2219
0.11	-1	0.0508142	16.1532
0.11	-1	0.0543252	19.3489
0.11	-1	0.0575624	17.2274
0.11	-1	0.0605653	16.4485
0.11	-1	0.0633656	15.7371
0.11	-1	0.065989	15.0533
0.11	-1	0.0684564	14.3302
0.11	-1	0.0707853	13.5273
0.11	-1	0.0729906	13.4713
0.11	-1	0.0750846	13.1926
0.11	-1	0.0770781	15.2209
0.11	-1	0.0789802	15.1513
0.11	-1	0.080799	11.475
0.11	-1	0.0825414	8.34252
0.11	-1	0.0842137	7.04779
0.11	-1	0.0858212	5.71575
0.11	-1	0.0873688	3.76674
0.11	-1	0.0888608	2.67326
0.11	-1	0.090301	1.60624
0.11	-1	0.091693	0.701335
0.11	-1	0.0930398	0.212651
0.11	-1	0.0943443	0.0276858
0.11	-1	0.095609	0
0.11	-0.634788	0	0
0.11	-0.634788	0.010894	1.92182
0.11	-0.634788	0.0195157	6.05611
0.11	-0.634788	0.0266514	10.843
0.11	-0.634788	0.0327387	15.0854
0.11	-0.634788	0.0380466	17.7169
0.11	-0.634788	0.0427523	18.951
0.11	-0.634788	0.0469786	19.337
0.11	-0.634788	0.0508142	19.3679
0.11	-0.634788	0.0543252	22.2851
0.11	-0.634788	0.0575624	19.6842
0.11	-0.634788	0.0605653	18.8083
0.11	-0.634788	0.0633656	18.0517
0.11	-0.634788	0.065989	17.0452
0.11	-0.634788	0.0684564	15.9252
0.11	-0.634788	0.0707853	14.9291
0.11	-0.634788	0.0729906	15.2828
0.11	-0.634788	0.0750846	15.4476
0.11	-0.634788	0.0770781	18.7591
0.11	-0.634788	0.0789802	19.4959
0.11	-0.634788	0.080799	15.8285
0.11	-0.634788	0.0825414	12.2246
0.11	-0.634788	0.0842137	11.1151
0.11	-0.634788	0.0858212	9.53426
0.11	-0.634788	0.0873688	6.59881
0.11	-0.634788	0.0888608	4.80001
0.11	-0.634788	0.090301	2.96456
0.11	-0.634788	0.091693	1.32564
0.11	-0.634788	0.0930398	0.408897
0.11	-0.634788	0.0943443	0.0556148
0.11	-0.634788	0.095609	0
0.11	-0.406307	0	0
0.11	-0.406307	0.010894	1.96407
0.11	-0.406307	0.0195157	6.30786
0.11	-0.406307	0.0266514	11.505
0.11	-0.406307	0.0327387	16.3171
0.11	-0.406307	0.0380466	19.5266
