0.75     -1     0      0
0.75     -1     0.0851848      49.1502
0.75     -1     0.152602      120.429
0.75     -1     0.208398      139.835
0.75     -1     0.255998      89.9194
0.75     -1     0.297503      55.5144
0.75     -1     0.334298      29.2641
0.75     -1     0.367345      13.2647
0.75     -1     0.397337      5.49664
0.75     -1     0.424792      1.27437
0.75     -1     0.450104      0
0.75     -1     0.473585      0
0.75     -1     0.495482      0
0.75     -1     0.515995      0
0.75     -1     0.535289      0
0.75     -1     0.5535      0
0.75     -1     0.570744      0
0.75     -1     0.587118      0
0.75     -1     0.602706      0
0.75     -1     0.617579      0
0.75     -1     0.631801      0
0.75     -1     0.645426      0
0.75     -1     0.658502      0
0.75     -1     0.671072      0
0.75     -1     0.683174      0
0.75     -1     0.69484      0
0.75     -1     0.706102      0
0.75     -1     0.716986      0
0.75     -1     0.727517      0
0.75     -1     0.737717      0
0.75     -1     0.747607      0
0.75     -0.634788     0      0
0.75     -0.634788     0.0851848      53.0632
0.75     -0.634788     0.152602      129.645
0.75     -0.634788     0.208398      184.902
0.75     -0.634788     0.255998      165.583
0.75     -0.634788     0.297503      126.074
0.75     -0.634788     0.334298      96.3548
0.75     -0.634788     0.367345      66.6933
0.75     -0.634788     0.397337      45.0512
0.75     -0.634788     0.424792      29.5185
0.75     -0.634788     0.450104      18.046
0.75     -0.634788     0.473585      9.99923
0.75     -0.634788     0.495482      5.28081
0.75     -0.634788     0.515995      2.63676
0.75     -0.634788     0.535289      1.20537
0.75     -0.634788     0.5535      0.525872
0.75     -0.634788     0.570744      0.205047
0.75     -0.634788     0.587118      0.060056
0.75     -0.634788     0.602706      0.0151999
0.75     -0.634788     0.617579      0.00288297
0.75     -0.634788     0.631801      5.84431e-05
0.75     -0.634788     0.645426      0
0.75     -0.634788     0.658502      0
0.75     -0.634788     0.671072      0
0.75     -0.634788     0.683174      0
0.75     -0.634788     0.69484      0
0.75     -0.634788     0.706102      0
0.75     -0.634788     0.716986      0
0.75     -0.634788     0.727517      0
0.75     -0.634788     0.737717      0
0.75     -0.634788     0.747607      0
0.75     -0.406307     0      0
0.75     -0.406307     0.0851848      56.0142
0.75     -0.406307     0.152602      141.988
0.75     -0.406307     0.208398      214.583
0.75     -0.406307     0.255998      222.992
0.75     -0.406307     0.297503      193.143
0.75     -0.406307     0.334298      164.031
0.75     -0.406307     0.367345      138.731
0.75     -0.406307     0.397337      103.821
0.75     -0.406307     0.424792      77.8965
0.75     -0.406307     0.450104      56.6487
0.75     -0.406307     0.473585      38.4708
0.75     -0.406307     0.495482      24.3652
0.75     -0.406307     0.515995      14.6471
0.75     -0.406307     0.535289      8.38774
0.75     -0.406307     0.5535      4.67022
