  103	  1.03	0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
   12     2.675	0.97069	0.96500	0.95818	0.95182	0.94503	0.93786	0.93103	0.92364	0.91634
   12     2.725	0.96941	0.96355	0.95655	0.95040	0.94333	0.93665	0.92952	0.92230	0.91492
   12     2.775	0.96815	0.96198	0.95529	0.94911	0.94180	0.93538	0.92806	0.92095	0.91351
   12     2.825	0.96682	0.96025	0.95387	0.94768	0.94062	0.93394	0.92669	0.91972	0.91210
   12     2.875	0.96534	0.95869	0.95276	0.94613	0.93940	0.93262	0.92540	0.91843	0.91109
   12     2.925	0.96388	0.95703	0.95172	0.94468	0.93808	0.93116	0.92433	0.91712	0.90982
   12     2.975	0.96243	0.95585	0.95034	0.94327	0.93684	0.92968	0.92316	0.91588	0.90860
   12     3.025	0.96092	0.95484	0.94896	0.94189	0.93571	0.92846	0.92189	0.91443	0.90748
   12     3.075	0.95966	0.95378	0.94745	0.94071	0.93443	0.92749	0.92054	0.91336	0.90635
   12     3.125	0.95841	0.95277	0.94593	0.93976	0.93329	0.92627	0.91947	0.91228	0.90520
   12     3.175	0.95695	0.95166	0.94469	0.93862	0.93188	0.92520	0.91820	0.91126	0.90402
   12     3.225	0.95575	0.95036	0.94331	0.93755	0.93040	0.92408	0.91694	0.91014	0.90277
   12     3.275	0.95477	0.94900	0.94218	0.93648	0.92930	0.92295	0.91584	0.90917	0.90169
   12     3.325	0.95349	0.94773	0.94131	0.93530	0.92824	0.92199	0.91488	0.90803	0.90084
   12     3.375	0.95265	0.94649	0.94059	0.93414	0.92728	0.92098	0.91394	0.90690	0.89986
   12     3.425	0.95171	0.94528	0.93941	0.93295	0.92637	0.91970	0.91280	0.90579	0.89890
   12     3.475	0.95081	0.94412	0.93851	0.93150	0.92545	0.91856	0.91181	0.90462	0.89798
   12     3.525	0.94960	0.94297	0.93747	0.93030	0.92453	0.91734	0.91096	0.90381	0.89704
   12     3.575	0.94845	0.94190	0.93642	0.92938	0.92368	0.91634	0.91006	0.90299	0.89589
   12     3.625	0.94741	0.94124	0.93536	0.92855	0.92275	0.91553	0.90906	0.90210	0.89489
   12     3.675	0.94640	0.94022	0.93440	0.92781	0.92166	0.91461	0.90817	0.90114	0.89399
   12     3.725	0.94546	0.93942	0.93329	0.92701	0.92046	0.91377	0.90712	0.90022	0.89318
   12     3.775	0.94436	0.93848	0.93218	0.92631	0.91934	0.91299	0.90609	0.89928	0.89230
   12     3.825	0.94340	0.93759	0.93107	0.92539	0.91819	0.91238	0.90521	0.89844	0.89157
   12     3.875	0.94222	0.93696	0.92999	0.92459	0.91727	0.91159	0.90435	0.89759	0.89090
   12     3.925	0.94102	0.93630	0.92919	0.92380	0.91661	0.91075	0.90349	0.89678	0.89011
   12     3.975	0.93987	0.93542	0.92835	0.92305	0.91585	0.90992	0.90273	0.89607	0.88933
   12     4.025	0.93899	0.93473	0.92753	0.92219	0.91512	0.90885	0.90213	0.89529	0.88863
   12     4.075	0.93826	0.93397	0.92673	0.92122	0.91456	0.90794	0.90144	0.89422	0.88784
   12     4.125	0.93755	0.93312	0.92598	0.92029	0.91397	0.90697	0.90087	0.89328	0.88709
   12     4.175	0.93696	0.93226	0.92530	0.91942	0.91330	0.90607	0.90022	0.89246	0.88641
   12     4.225	0.93631	0.93133	0.92464	0.91852	0.91257	0.90529	0.89963	0.89162	0.88582
   12     4.275	0.93593	0.93023	0.92417	0.91746	0.91191	0.90438	0.89892	0.89099	0.88514
   12     4.325	0.93551	0.92900	0.92380	0.91665	0.91114	0.90374	0.89806	0.89052	0.88432
   12     4.375	0.93486	0.92775	0.92320	0.91600	0.91027	0.90336	0.89718	0.89013	0.88334
   12     4.425	0.93428	0.92716	0.92241	0.91547	0.90932	0.90303	0.89621	0.88966	0.88237
   12     4.475	0.93339	0.92676	0.92132	0.91503	0.90837	0.90261	0.89511	0.88907	0.88177
   12     4.525	0.93232	0.92645	0.92037	0.91454	0.90747	0.90191	0.89408	0.88849	0.88117
   12     4.575	0.93147	0.92589	0.91948	0.91386	0.90677	0.90128	0.89357	0.88803	0.88051
   12     4.625	0.93071	0.92512	0.91883	0.91340	0.90616	0.90063	0.89308	0.88736	0.87994
   12     4.675	0.93020	0.92479	0.91812	0.91293	0.90550	0.89994	0.89265	0.88664	0.87944
   12     4.725	0.92955	0.92444	0.91734	0.91229	0.90501	0.89922	0.89229	0.88592	0.87887
   12     4.775	0.92868	0.92389	0.91656	0.91166	0.90468	0.89860	0.89194	0.88520	0.87827
   12     4.825	0.92801	0.92346	0.91609	0.91097	0.90419	0.89794	0.89138	0.88450	0.87772
   12     4.875	0.92749	0.92281	0.91570	0.91027	0.90356	0.89754	0.89073	0.88375	0.87731
   12     4.925	0.92678	0.92210	0.91507	0.90968	0.90292	0.89697	0.89014	0.88320	0.87702
   12     4.975	0.92607	0.92158	0.91450	0.90910	0.90244	0.89604	0.88977	0.88246	0.87648
   12     5.025	0.92532	0.92092	0.91404	0.90835	0.90212	0.89492	0.88933	0.88189	0.87588
   12     5.075	0.92488	0.91996	0.91375	0.90727	0.90174	0.89417	0.88883	0.88156	0.87509
   12     5.125	0.92473	0.91896	0.91347	0.90644	0.90131	0.89394	0.88818	0.88136	0.87440
   12     5.175	0.92442	0.91820	0.91310	0.90602	0.90055	0.89368	0.88768	0.88095	0.87392
   12     5.225	0.92377	0.91778	0.91249	0.90560	0.90000	0.89319	0.88735	0.88032	0.87336
   12     5.275	0.92332	0.91736	0.91224	0.90497	0.89981	0.89260	0.88689	0.87976	0.87288
   12     5.325	0.92289	0.91668	0.91225	0.90435	0.89959	0.89207	0.88622	0.87934	0.87242
   12     5.375	0.92272	0.91589	0.91191	0.90388	0.89902	0.89178	0.88530	0.87894	0.87202
   12     5.425	0.92238	0.91545	0.91124	0.90367	0.89823	0.89147	0.88457	0.87849	0.87173
   12     5.475	0.92217	0.91514	0.91043	0.90344	0.89765	0.89106	0.88397	0.87798	0.87129
   12     5.525	0.92158	0.91462	0.90969	0.90307	0.89715	0.89053	0.88368	0.87759	0.87073
   12     5.575	0.92111	0.91425	0.90918	0.90266	0.89665	0.89018	0.88335	0.87717	0.87032
   12     5.625	0.92072	0.91367	0.90871	0.90234	0.89608	0.88988	0.88281	0.87678	0.86998
   12     5.675	0.92034	0.91316	0.90809	0.90210	0.89518	0.88958	0.88238	0.87631	0.86958
   12     5.725	0.91974	0.91297	0.90735	0.90191	0.89445	0.88918	0.88198	0.87582	0.86911
   12     5.775	0.91896	0.91266	0.90671	0.90153	0.89391	0.88879	0.88165	0.87541	0.86860
   12     5.825	0.91859	0.91245	0.90622	0.90092	0.89343	0.88852	0.88127	0.87487	0.86821
   12     5.875	0.91827	0.91218	0.90580	0.90062	0.89307	0.88834	0.88099	0.87427	0.86784
   12     5.925	0.91803	0.91186	0.90530	0.90017	0.89283	0.88796	0.88071	0.87383	0.86749
   12     5.975	0.91747	0.91159	0.90469	0.89986	0.89267	0.88729	0.88040	0.87358	0.86708
   12     6.025	0.91673	0.91129	0.90419	0.89945	0.89242	0.88652	0.88005	0.87330	0.86661
   12     6.075	0.91607	0.91096	0.90364	0.89897	0.89213	0.88585	0.87965	0.87289	0.86624
   12     6.125	0.91574	0.91065	0.90309	0.89851	0.89182	0.88525	0.87941	0.87253	0.86599
   12     6.175	0.91548	0.91040	0.90282	0.89816	0.89151	0.88468	0.87921	0.87225	0.86566
   12     6.225	0.91491	0.91014	0.90261	0.89767	0.89128	0.88406	0.87906	0.87194	0.86519
   12     6.275	0.91401	0.91009	0.90245	0.89702	0.89091	0.88370	0.87878	0.87152	0.86482
   12     6.325	0.91332	0.90962	0.90211	0.89639	0.89060	0.88342	0.87850	0.87119	0.86448
   12     6.375	0.91301	0.90901	0.90188	0.89609	0.89038	0.88311	0.87822	0.87084	0.86415
   12     6.425	0.91265	0.90836	0.90181	0.89578	0.89018	0.88294	0.87776	0.87051	0.86390
   12     6.475	0.91205	0.90778	0.90162	0.89529	0.88995	0.88271	0.87725	0.87026	0.86358
   12     6.525	0.91144	0.90740	0.90140	0.89473	0.88975	0.88244	0.87652	0.87007	0.86332
   12     6.575	0.91096	0.90699	0.90116	0.89440	0.88946	0.88216	0.87587	0.86981	0.86288
   12     6.625	0.91065	0.90642	0.90109	0.89402	0.88903	0.88201	0.87538	0.86955	0.86247
   12     6.675	0.91024	0.90600	0.90085	0.89338	0.88879	0.88172	0.87485	0.86933	0.86209
   12     6.725	0.90999	0.90566	0.90060	0.89302	0.88864	0.88130	0.87429	0.86917	0.86167
   12     6.775	0.90980	0.90519	0.90047	0.89265	0.88825	0.88101	0.87393	0.86899	0.86125
   12     6.825	0.90966	0.90464	0.90032	0.89219	0.88791	0.88077	0.87374	0.86870	0.86096
   12     6.875	0.90946	0.90434	0.90011	0.89175	0.88758	0.88056	0.87341	0.86834	0.86059
   12     6.925	0.90939	0.90408	0.89980	0.89146	0.88734	0.88038	0.87329	0.86811	0.86028
   12     6.975	0.90931	0.90354	0.89956	0.89105	0.88712	0.88010	0.87317	0.86772	0.86001
   12     7.025	0.90914	0.90325	0.89950	0.89062	0.88679	0.87990	0.87308	0.86734	0.85987
   12     7.075	0.90900	0.90281	0.89909	0.89013	0.88643	0.87955	0.87299	0.86705	0.85967
   12     7.125	0.90889	0.90220	0.89873	0.88962	0.88595	0.87914	0.87303	0.86657	0.85943
   12     7.175	0.90873	0.90172	0.89838	0.88932	0.88555	0.87876	0.87302	0.86605	0.85922
   12     7.225	0.90840	0.90151	0.89804	0.88908	0.88524	0.87835	0.87286	0.86554	0.85902
   12     7.275	0.90788	0.90134	0.89766	0.88887	0.88489	0.87789	0.87267	0.86493	0.85874
   12     7.325	0.90748	0.90132	0.89734	0.88874	0.88479	0.87766	0.87248	0.86460	0.85849
   12     7.375	0.90697	0.90128	0.89702	0.88856	0.88460	0.87767	0.87214	0.86425	0.85826
   12     7.425	0.90632	0.90122	0.89654	0.88852	0.88435	0.87750	0.87186	0.86411	0.85800
   12     7.475	0.90609	0.90116	0.89605	0.88853	0.88394	0.87731	0.87160	0.86402	0.85775
   12     7.525	0.90624	0.90099	0.89558	0.88857	0.88348	0.87703	0.87135	0.86399	0.85742
   12     7.575	0.90625	0.90085	0.89506	0.88847	0.88305	0.87672	0.87101	0.86399	0.85711
   12     7.625	0.90650	0.90074	0.89470	0.88854	0.88261	0.87636	0.87068	0.86396	0.85671
   12     7.675	0.90673	0.90059	0.89445	0.88851	0.88238	0.87594	0.87028	0.86384	0.85628
   12     7.725	0.90678	0.90039	0.89414	0.88845	0.88219	0.87552	0.87005	0.86369	0.85592
