111 1.11  0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
   12     3.025	1.04617	1.03995	1.03390	1.02663	1.02025	1.01277	1.00598	0.99826	0.99106
   12     3.075	1.04479	1.03875	1.03226	1.02533	1.01884	1.01170	1.00451	0.99708	0.98980
   12     3.125	1.04342	1.03762	1.03060	1.02427	1.01759	1.01035	1.00333	0.99588	0.98854
   12     3.175	1.04182	1.03640	1.02925	1.02300	1.01606	1.00917	1.00193	0.99475	0.98724
   12     3.225	1.04050	1.03497	1.02774	1.02181	1.01445	1.00793	1.00056	0.99351	0.98588
   12     3.275	1.03941	1.03348	1.02649	1.02062	1.01324	1.00668	0.99933	0.99244	0.98467
   12     3.325	1.03799	1.03210	1.02551	1.01932	1.01206	1.00561	0.99827	0.99118	0.98373
   12     3.375	1.03705	1.03073	1.02468	1.01804	1.01098	1.00449	0.99722	0.98993	0.98264
   12     3.425	1.03598	1.02940	1.02337	1.01674	1.00996	1.00308	0.99597	0.98871	0.98157
   12     3.475	1.03497	1.02812	1.02237	1.01516	1.00894	1.00183	0.99487	0.98742	0.98054
   12     3.525	1.03364	1.02686	1.02120	1.01385	1.00790	1.00050	0.99391	0.98651	0.97951
   12     3.575	1.03237	1.02566	1.02004	1.01282	1.00694	0.99938	0.99290	0.98559	0.97823
   12     3.625	1.03122	1.02492	1.01887	1.01188	1.00590	0.99848	0.99178	0.98460	0.97713
   12     3.675	1.03010	1.02377	1.01782	1.01104	1.00471	0.99745	0.99079	0.98353	0.97613
   12     3.725	1.02906	1.02288	1.01658	1.01013	1.00339	0.99651	0.98963	0.98251	0.97521
   12     3.775	1.02784	1.02183	1.01537	1.00934	1.00217	0.99562	0.98850	0.98147	0.97423
   12     3.825	1.02678	1.02082	1.01415	1.00830	1.00091	0.99493	0.98752	0.98053	0.97340
   12     3.875	1.02550	1.02009	1.01296	1.00741	0.99988	0.99403	0.98656	0.97957	0.97264
   12     3.925	1.02418	1.01934	1.01207	1.00651	0.99913	0.99309	0.98560	0.97866	0.97175
   12     3.975	1.02292	1.01835	1.01111	1.00567	0.99827	0.99216	0.98474	0.97786	0.97088
   12     4.025	1.02194	1.01758	1.01019	1.00471	0.99744	0.99099	0.98405	0.97699	0.97009
   12     4.075	1.02111	1.01672	1.00930	1.00364	0.99679	0.98998	0.98327	0.97582	0.96921
   12     4.125	1.02030	1.01578	1.00845	1.00262	0.99611	0.98892	0.98261	0.97477	0.96837
   12     4.175	1.01962	1.01482	1.00768	1.00165	0.99535	0.98792	0.98187	0.97386	0.96760
   12     4.225	1.01887	1.01380	1.00693	1.00066	0.99454	0.98704	0.98120	0.97293	0.96692
   12     4.275	1.01841	1.01260	1.00638	0.99948	0.99379	0.98603	0.98040	0.97220	0.96616
   12     4.325	1.01793	1.01125	1.00594	0.99858	0.99293	0.98529	0.97945	0.97166	0.96525
   12     4.375	1.01719	1.00989	1.00526	0.99783	0.99198	0.98484	0.97849	0.97119	0.96416
   12     4.425	1.01654	1.00921	1.00439	0.99723	0.99093	0.98444	0.97742	0.97066	0.96309
   12     4.475	1.01556	1.00874	1.00319	0.99672	0.98989	0.98395	0.97621	0.96998	0.96241
   12     4.525	1.01437	1.00837	1.00214	0.99616	0.98888	0.98316	0.97510	0.96931	0.96175
   12     4.575	1.01342	1.00774	1.00115	0.99539	0.98811	0.98245	0.97452	0.96877	0.96101
   12     4.625	1.01257	1.00687	1.00042	0.99486	0.98742	0.98172	0.97395	0.96802	0.96037
   12     4.675	1.01200	1.00647	0.99964	0.99431	0.98669	0.98094	0.97344	0.96722	0.95980
