# 1pi MK :Minoo Kabirnezhad default     :MA=1.06, CA50=;1.02, MABKG=;1.03, W_MAX=2.00
  16 2    0.88-0.000000E+00-0.000000E+00-0.000000E+00 0.676712E+00 0.437065E+00 0.639204E+00 0.415331E+00
  16 2    1.00-0.000000E+00-0.000000E+00-0.000000E+00 0.816294E+00 0.546118E+00 0.769978E+00 0.522557E+00
  16 2    1.13-0.000000E+00-0.000000E+00-0.000000E+00 0.929026E+00 0.642110E+00 0.876900E+00 0.618928E+00
  16 2    1.25-0.000000E+00-0.000000E+00-0.000000E+00 0.102132E+01 0.727719E+00 0.965547E+00 0.706119E+00
  16 2    1.38-0.000000E+00-0.000000E+00-0.000000E+00 0.109847E+01 0.804888E+00 0.104065E+01 0.785541E+00
  16 2    1.50-0.000000E+00-0.000000E+00-0.000000E+00 0.116451E+01 0.875015E+00 0.110589E+01 0.858251E+00
  16 2    2.00-0.000000E+00-0.000000E+00-0.000000E+00 0.135852E+01 0.109929E+01 0.130335E+01 0.109303E+01
  16 2    2.50-0.000000E+00-0.000000E+00-0.000000E+00 0.147227E+01 0.124926E+01 0.142203E+01 0.125115E+01
  16 2    3.00-0.000000E+00-0.000000E+00-0.000000E+00 0.154501E+01 0.135453E+01 0.149852E+01 0.136177E+01
  16 2    3.50-0.000000E+00-0.000000E+00-0.000000E+00 0.159642E+01 0.143337E+01 0.155264E+01 0.144399E+01
  16 2    4.75 0.297685E+00 0.136632E+00 0.153087E+00 0.168010E+01 0.156848E+01 0.164027E+01 0.158303E+01
  16 2    6.00 0.101881E+01 0.601006E+00 0.816619E+00 0.173360E+01 0.165814E+01 0.169572E+01 0.167388E+01
  16 2   10.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
  16 2   50.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
  16 2  100.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
  16 2  200.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
  16 2  400.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
  16 2  650.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
  16 2 1000.00 0.296743E+01 0.197523E+01 0.288188E+01 0.183443E+01 0.183069E+01 0.179881E+01 0.184620E+01
 -16 1    0.37-0.000000E+00-0.000000E+00-0.000000E+00 0.744596E-02 0.991548E-02 0.784625E-02 0.716328E-02
 -16 1    0.40-0.000000E+00-0.000000E+00-0.000000E+00 0.134194E-01 0.156019E-01 0.140183E-01 0.114642E-01
 -16 1    0.50-0.000000E+00-0.000000E+00-0.000000E+00 0.447723E-01 0.436434E-01 0.455892E-01 0.337537E-01
 -16 1    0.63-0.000000E+00-0.000000E+00-0.000000E+00 0.970287E-01 0.902724E-01 0.971733E-01 0.725378E-01
 -16 1    0.75-0.000000E+00-0.000000E+00-0.000000E+00 0.154685E+00 0.142240E+00 0.153744E+00 0.117596E+00
 -16 1    0.88-0.000000E+00-0.000000E+00-0.000000E+00 0.215356E+00 0.197946E+00 0.212987E+00 0.168015E+00
 -16 1    1.00-0.000000E+00-0.000000E+00-0.000000E+00 0.277090E+00 0.256648E+00 0.272819E+00 0.222746E+00
 -16 1    1.13-0.000000E+00-0.000000E+00-0.000000E+00 0.338280E+00 0.316638E+00 0.331697E+00 0.279742E+00
 -16 1    1.25-0.000000E+00-0.000000E+00-0.000000E+00 0.398149E+00 0.376255E+00 0.389057E+00 0.337150E+00
 -16 1    1.38-0.000000E+00-0.000000E+00-0.000000E+00 0.456037E+00 0.434081E+00 0.444329E+00 0.393187E+00
 -16 1    1.50-0.000000E+00-0.000000E+00-0.000000E+00 0.511505E+00 0.489363E+00 0.497215E+00 0.446887E+00
 -16 1    2.00-0.000000E+00-0.000000E+00-0.000000E+00 0.706208E+00 0.681796E+00 0.682959E+00 0.634130E+00
 -16 1    2.50-0.000000E+00-0.000000E+00-0.000000E+00 0.856951E+00 0.830942E+00 0.826951E+00 0.780167E+00
 -16 1    3.00-0.000000E+00-0.000000E+00-0.000000E+00 0.974669E+00 0.948623E+00 0.939830E+00 0.896410E+00
 -16 1    3.50-0.000000E+00-0.000000E+00-0.000000E+00 0.106897E+01 0.104421E+01 0.103067E+01 0.991593E+00
 -16 1    4.75 0.275476E+00 0.116426E+00 0.108574E+00 0.123970E+01 0.122178E+01 0.119624E+01 0.117033E+01
 -16 1    6.00 0.806254E+00 0.446966E+00 0.542545E+00 0.135568E+01 0.134700E+01 0.130963E+01 0.129782E+01
 -16 1   10.00 0.241787E+01 0.149578E+01 0.203717E+01 0.157010E+01 0.159301E+01 0.152141E+01 0.155106E+01
 -16 1   50.00 0.241787E+01 0.149578E+01 0.203717E+01 0.157010E+01 0.159301E+01 0.152141E+01 0.155106E+01
 -16 1  100.00 0.241787E+01 0.149578E+01 0.203717E+01 0.157010E+01 0.159301E+01 0.152141E+01 0.155106E+01
