  101     1.01    0.195   0.205   0.215   0.225   0.235   0.245   0.255   0.265   0.275
   12     2.675	1.15110	1.14481	1.13730	1.13023	1.12258	1.11449	1.10670	1.09821	1.08977
   12     2.725	1.14954	1.14311	1.13540	1.12852	1.12061	1.11304	1.10490	1.09662	1.08809
   12     2.775	1.14804	1.14129	1.13393	1.12700	1.11883	1.11156	1.10320	1.09505	1.08643
   12     2.825	1.14647	1.13929	1.13224	1.12534	1.11744	1.10986	1.10162	1.09361	1.08479
   12     2.875	1.14476	1.13751	1.13092	1.12355	1.11602	1.10832	1.10011	1.09210	1.08359
   12     2.925	1.14308	1.13560	1.12969	1.12188	1.11448	1.10664	1.09887	1.09058	1.08214
   12     2.975	1.14142	1.13424	1.12811	1.12028	1.11304	1.10496	1.09751	1.08914	1.08073
   12     3.025	1.13969	1.13305	1.12653	1.11869	1.11170	1.10356	1.09604	1.08748	1.07945
   12     3.075	1.13825	1.13180	1.12481	1.11732	1.11024	1.10243	1.09450	1.08626	1.07815
   12     3.125	1.13683	1.13061	1.12309	1.11624	1.10895	1.10104	1.09328	1.08503	1.07683
   12     3.175	1.13515	1.12934	1.12169	1.11493	1.10736	1.09980	1.09183	1.08386	1.07549
   12     3.225	1.13380	1.12788	1.12013	1.11367	1.10570	1.09854	1.09039	1.08259	1.07406
   12     3.275	1.13268	1.12634	1.11883	1.11245	1.10445	1.09725	1.08915	1.08150	1.07284
   12     3.325	1.13122	1.12490	1.11783	1.11112	1.10323	1.09615	1.08807	1.08021	1.07188
   12     3.375	1.13025	1.12353	1.11701	1.10981	1.10215	1.09501	1.08701	1.07892	1.07078
   12     3.425	1.12918	1.12214	1.11567	1.10850	1.10111	1.09356	1.08572	1.07767	1.06970
   12     3.475	1.12815	1.12087	1.11463	1.10687	1.10007	1.09228	1.08462	1.07633	1.06867
   12     3.525	1.12679	1.11958	1.11346	1.10553	1.09902	1.09093	1.08366	1.07545	1.06762
   12     3.575	1.12548	1.11835	1.11227	1.10451	1.09806	1.08981	1.08264	1.07453	1.06633
   12     3.625	1.12435	1.11761	1.11109	1.10356	1.09702	1.08891	1.08151	1.07354	1.06520
   12     3.675	1.12320	1.11645	1.11004	1.10273	1.09581	1.08788	1.08049	1.07248	1.06419
   12     3.725	1.12215	1.11556	1.10880	1.10179	1.09447	1.08694	1.07932	1.07145	1.06329
   12     3.775	1.12093	1.11450	1.10757	1.10103	1.09323	1.08607	1.07818	1.07041	1.06229
   12     3.825	1.11987	1.11349	1.10632	1.09998	1.09196	1.08539	1.07722	1.06948	1.06148
   12     3.875	1.11858	1.11276	1.10514	1.09910	1.09092	1.08450	1.07625	1.06852	1.06074
   12     3.925	1.11725	1.11203	1.10423	1.09823	1.09017	1.08355	1.07530	1.06761	1.05987
   12     3.975	1.11595	1.11106	1.10327	1.09740	1.08932	1.08263	1.07445	1.06683	1.05900
   12     4.025	1.11496	1.11030	1.10234	1.09645	1.08849	1.08146	1.07378	1.06597	1.05825
   12     4.075	1.11413	1.10947	1.10144	1.09537	1.08787	1.08044	1.07302	1.06477	1.05739
   12     4.125	1.11333	1.10855	1.10061	1.09435	1.08722	1.07938	1.07240	1.06371	1.05656
   12     4.175	1.11263	1.10760	1.09986	1.09339	1.08650	1.07838	1.07168	1.06279	1.05581
   12     4.225	1.11191	1.10657	1.09915	1.09238	1.08571	1.07749	1.07104	1.06184	1.05517
   12     4.275	1.11151	1.10533	1.09866	1.09116	1.08500	1.07643	1.07026	1.06114	1.05442
   12     4.325	1.11110	1.10391	1.09828	1.09020	1.08416	1.07570	1.06932	1.06065	1.05348
   12     4.375	1.11044	1.10245	1.09766	1.08945	1.08321	1.07532	1.06834	1.06026	1.05236
   12     4.425	1.10982	1.10181	1.09677	1.08893	1.08213	1.07499	1.06726	1.05976	1.05127
   12     4.475	1.10880	1.10142	1.09552	1.08848	1.08107	1.07453	1.06603	1.05909	1.05062
   12     4.525	1.10756	1.10112	1.09445	1.08796	1.08005	1.07375	1.06490	1.05844	1.05000
   12     4.575	1.10658	1.10052	1.09342	1.08720	1.07929	1.07304	1.06435	1.05793	1.04929
   12     4.625	1.10574	1.09963	1.09272	1.08670	1.07863	1.07233	1.06382	1.05719	1.04869
   12     4.675	1.10521	1.09927	1.09195	1.08620	1.07790	1.07157	1.06333	1.05639	1.04816
   12     4.725	1.10451	1.09889	1.09107	1.08546	1.07735	1.07076	1.06296	1.05558	1.04754
   12     4.775	1.10351	1.09825	1.09022	1.08473	1.07701	1.07005	1.06257	1.05478	1.04685
   12     4.825	1.10279	1.09776	1.08975	1.08394	1.07648	1.06933	1.06194	1.05403	1.04624
   12     4.875	1.10225	1.09701	1.08933	1.08316	1.07577	1.06894	1.06119	1.05322	1.04578
   12     4.925	1.10147	1.09623	1.08859	1.08255	1.07502	1.06835	1.06054	1.05263	1.04548
   12     4.975	1.10068	1.09573	1.08793	1.08196	1.07447	1.06734	1.06015	1.05179	1.04487
   12     5.025	1.09983	1.09504	1.08743	1.08115	1.07415	1.06608	1.05968	1.05117	1.04421
   12     5.075	1.09932	1.09398	1.08712	1.07993	1.07373	1.06524	1.05913	1.05084	1.04331
   12     5.125	1.09916	1.09287	1.08683	1.07901	1.07326	1.06499	1.05840	1.05064	1.04254
   12     5.175	1.09881	1.09203	1.08641	1.07858	1.07241	1.06472	1.05785	1.05020	1.04202
   12     5.225	1.09807	1.09156	1.08571	1.07812	1.07177	1.06419	1.05748	1.04949	1.04140
   12     5.275	1.09757	1.09111	1.08543	1.07745	1.07156	1.06352	1.05697	1.04886	1.04088
   12     5.325	1.09707	1.09036	1.08543	1.07676	1.07131	1.06293	1.05624	1.04840	1.04038
   12     5.375	1.09687	1.08948	1.08505	1.07623	1.07069	1.06261	1.05523	1.04797	1.03997
   12     5.425	1.09648	1.08900	1.08428	1.07599	1.06982	1.06225	1.05442	1.04748	1.03967
   12     5.475	1.09628	1.08864	1.08341	1.07573	1.06920	1.06180	1.05376	1.04691	1.03920
   12     5.525	1.09565	1.08808	1.08261	1.07532	1.06868	1.06122	1.05346	1.04649	1.03859
