C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00021      0.00000      0.00000	  0.00012      0.00000      0.00000
         2      0.00225      0.00006      0.00000	  0.00115      0.00003      0.00000
         3      0.00809      0.00225      0.00000	  0.00375      0.00085      0.00000
         4      0.01894      0.00885      0.00000	  0.00822      0.00322      0.00000
         5      0.03506      0.02090      0.00000	  0.01462      0.00752      0.00000
         6      0.05609      0.03817      0.00000	  0.02293      0.01380      0.00000
         7      0.08141      0.06010      0.00000	  0.03313      0.02204      0.00000
         8      0.11035      0.08607      0.00000	  0.04513      0.03225      0.00000
         9      0.14226      0.11542      0.00000	  0.05886      0.04433      0.00000
        10      0.17659      0.14752      0.00000	  0.07425      0.05820      0.00000
        11      0.21289      0.18183      0.00000	  0.09121      0.07374      0.00000
        12      0.25078      0.21794      0.00000	  0.10966      0.09088      0.00000
        13      0.28981      0.25555      0.00000	  0.12941      0.10952      0.00000
        14      0.32723      0.29441      0.00000	  0.14888      0.12959      0.00000
        15      0.36125      0.33415      0.00000	  0.16741      0.15091      0.00000
        16      0.39164      0.36838      0.00000	  0.18524      0.17030      0.00000
        17      0.41832      0.39743      0.00000	  0.20265      0.18842      0.00000
        18      0.44156      0.42241      0.00000	  0.21991      0.20609      0.00000
        19      0.46169      0.44392      0.00000	  0.23715      0.22360      0.00000
        20      0.47907      0.46240      0.00000	  0.25445      0.24110      0.00000
        21      0.49411      0.47836      0.00000	  0.27183      0.25866      0.00000
        22      0.50714      0.49219      0.00000	  0.28932      0.27630      0.00000
        23      0.51842      0.50414      0.00000	  0.30683      0.29398      0.00000
        24      0.52827      0.51459      0.00000	  0.32434      0.31164      0.00000
        25      0.53686      0.52372      0.00000	  0.34179      0.32925      0.00000
        26      0.54436      0.53169      0.00000	  0.35911      0.34673      0.00000
        27      0.55100      0.53876      0.00000	  0.37629      0.36408      0.00000
        28      0.55687      0.54502      0.00000	  0.39329      0.38124      0.00000
        29      0.56206      0.55057      0.00000	  0.41005      0.39817      0.00000
        30      0.56667      0.55551      0.00000	  0.42658      0.41486      0.00000
        31      0.57083      0.55999      0.00000	  0.44286      0.43130      0.00000
        32      0.57463      0.56407      0.00000	  0.45890      0.44750      0.00000
        33      0.57792      0.56764      0.00000	  0.47458      0.46334      0.00000
        34      0.58096      0.57092      0.00000	  0.48998      0.47891      0.00000
        35      0.58371      0.57391      0.00000	  0.50508      0.49416      0.00000
        36      0.58625      0.57667      0.00000	  0.51989      0.50913      0.00000
        37      0.58857      0.57921      0.00000	  0.53439      0.52378      0.00000
        38      0.59069      0.58153      0.00000	  0.54855      0.53809      0.00000
        39      0.59262      0.58366      0.00000	  0.56240      0.55209      0.00000
        40      0.59442      0.58566      0.00000	  0.57595      0.56579      0.00000
        41      0.59613      0.58756      0.00000	  0.58922      0.57921      0.00000
        42      0.59770      0.58931      0.00000	  0.60216      0.59230      0.00000
        43      0.59913      0.59090      0.00003	  0.61478      0.60506      0.00003
        44      0.60051      0.59244      0.00013	  0.62714      0.61755      0.00013
        45      0.60171      0.59379      0.00033	  0.63915      0.62969      0.00033
        46      0.60292      0.59514      0.00066	  0.65093      0.64160      0.00067
        47      0.60402      0.59638      0.00117	  0.66241      0.65320      0.00117
        48      0.60512      0.59761      0.00187	  0.67366      0.66457      0.00187
        49      0.60618      0.59879      0.00279	  0.68466      0.67569      0.00278
        50      0.60707      0.59980      0.00396	  0.69533      0.68647      0.00394
        51      0.60797      0.60082      0.00537	  0.70578      0.69703      0.00535
        52      0.60880      0.60176      0.00706	  0.71596      0.70732      0.00703
        53      0.60959      0.60266      0.00904	  0.72591      0.71738      0.00900
        54      0.61036      0.60354      0.01130	  0.73565      0.72722      0.01126
