  1               1            12             16             40
  12                    0.1         2.755057001         4.403347314         13.64723062
  12                 0.1025         3.101819283         4.934760461         15.10103512
  12                  0.105         3.421546763         5.535228765         16.88415908
  12                 0.1075         3.802722983          6.11871053         18.76312732
  12                   0.11         4.238070691         6.778101715         20.45536152
  12                 0.1125         4.652723553         7.478458998         22.43370933
  12                  0.115         5.091890535         8.224953733         24.67052035
  12                 0.1175         5.592552196         8.927935799         26.91757358
  12                   0.12         6.152463033         9.823351265         29.20640838
  12                 0.1225          6.67722309         10.74153761         31.52739506
  12                  0.125         7.245027241          11.6144458         34.17887905
  12                 0.1275         7.853594451         12.45647091         36.82197317
  12                   0.13         8.552901302         13.52716021         39.70403616
  12                 0.1325          9.11876622         14.63844156         42.65965064
  12                  0.135          9.81982384         15.69307379         45.63791282
  12                 0.1375          10.5756617         16.83029184         48.58460449
  12                   0.14         11.42903254         17.93330871         51.78884116
  12                 0.1425         12.18273262          19.2046609         55.32870617
  12                  0.145         12.93809746         20.46194902         59.05595249
  12                 0.1475         13.81547562         21.72871581         62.78652444
  12                   0.15         14.76851412         23.17076115         66.29421074
  12                 0.1525         15.75317573         24.67577813         69.69457199
  12                  0.155         16.64059276         26.10158242         73.94913189
  12                 0.1575         17.65694583         27.44167333          78.3329314
  12                   0.16           18.613638         28.84941882         82.83632237
  12                 0.1625         19.75407065         30.48646043         87.21059061
  12                  0.165         20.88465598         32.27716494         91.13212506
  12                   0.17         23.06353234         35.85502627         100.5308285
  12                  0.175         25.63930846         38.99325736         110.7158952
  12                   0.18         28.09412698         43.09120089         120.8267816
  12                  0.185         30.71719646         47.28566508         131.7758291
  12                   0.19         33.71054415         51.01328056         144.1376329
  12                    0.2          39.5885839         60.18913143          166.497637
  12                  0.205         42.93892635         64.97582102         179.5951879
  12                   0.21         46.61416157         69.76996143         193.4993885
  12                   0.22         53.48762444         80.89223355         221.4870659
  12                   0.23         61.14949255         91.49948487         250.9828918
  12                   0.24         69.15578771         103.5203078         282.3711641
  12                   0.25         78.24060717         117.2819266         314.8555457
  12                   0.26         87.07329274          129.762817          348.532503
  12                  0.275           101.56437         151.0518452         404.6397724
  12                    0.3         128.6680086         188.9407692         501.7228819
  12                  0.325         158.2749179         230.6141628         608.4970391
  12                   0.35          190.761715         276.2669023         723.6903249
  12                  0.375         226.4700114         328.8171993          852.169554
  12                    0.4         266.9553523         382.6300853         990.1257724
  12                  0.425         314.3874223         439.3910477          1150.82152
  12                   0.45         359.8492318         501.9061903         1309.606484
  12                  0.475         409.8646079         565.2256692         1478.816998
  12                    0.5         461.0257357         632.3365511         1655.102046
  12                  0.525         510.8994312         697.1859872         1831.015636
  12                   0.55         561.7583418         763.2916555          2014.98756
  12                    0.6         661.8674854         893.1090054         2366.584219
  12                   0.65         758.6622613         1019.410898         2709.752298
  12                    0.7         850.0083135         1141.513509         3044.820386
  12                   0.75         940.0002173         1254.683824         3347.293298
  12                    0.8         1024.463882         1367.953865         3627.373172
  12                   0.85         1107.309531         1470.588664         3887.693282
  12                    0.9         1183.282586         1560.841199         4129.752037
  12                   0.95         1252.512492         1647.807351         4347.909647
  12                      1         1306.154187         1713.236697         4511.035455
  12                   1.05         1337.444444         1745.154638         4609.748854
  12                    1.1         1363.960209         1782.065269         4673.148886
  12                   1.15         1388.700125         1802.561568         4738.708106
  12                    1.2         1409.634368         1838.375542         4799.473952
  12                   1.25         1407.955353         1825.590844         4790.327804
  12                    1.3         1409.920699         1832.726487         4796.415689
  12                    1.4         1411.206518          1832.13544         4771.562448
  12                   1.49          1414.98452         1832.197133         4782.408137
  12              1.4999999         1417.178558         1835.296317          4787.33083
  12              1.5000001         1425.498697         1843.608174         4807.957799
  12                  1.502         1424.663576         1842.961273         4805.545461
  12                 1.5075         1426.033928          1844.47714         4809.425884
  12                  1.513         1422.426582         1841.067029         4799.173502
  12                  1.515         1421.166102          1839.58452         4794.870523
  12                   1.52         1425.697702         1843.829301         4805.901125
  12                  1.525         1426.671309         1846.097071         4812.298679
  12                   1.55         1425.916882         1844.431463         4805.623419
  12                  1.575         1427.864591         1846.033926         4808.576104
  12                    1.6         1429.548259         1848.291785         4816.065297
  12                   1.65         1430.239558         1848.342177         4811.841382
  12                    1.8         1435.841419         1852.247889         4822.698855
  12                    1.9         1438.003687         1854.322362         4825.095538
  12                      2         1439.970194          1855.62923         4826.913032
  12                    2.5         1448.722082         1862.566764         4837.746331
  12                      3          1456.21852         1869.437243         4850.304583
  12                      4          1465.38711         1878.536493         4866.241217
  12                      6            1475.768         1887.944607         4885.714265
  12                    7.5         1479.730691         1891.818162         4891.883936
  12                     10         1483.980491         1896.010267         4899.403214
  12                     20         1490.603291         1902.075271         4911.081869
  12                     30         1492.721919         1904.111868         4913.970338
 -12                    0.1         1.980371883         3.347703825         14.44069701
 -12                 0.1025         2.171020974         3.689102296          15.7396281
 -12                  0.105         2.393718787         4.050143597         17.04870311
 -12                 0.1075         2.644621274         4.448434872         18.34871469
 -12                   0.11         2.879177657         4.862623986         19.65690315
 -12                 0.1125         3.123614291         5.247098186         21.10760805
 -12                  0.115         3.408350371          5.70512088         22.57263387
 -12                 0.1175         3.707285679         6.199197335         24.11609965
 -12                   0.12          3.99355649         6.692266664         25.68672037
 -12                 0.1225         4.307390696         7.130180516         27.25626787
 -12                  0.125         4.630574117          7.64866604         28.82308428
 -12                 0.1275         4.987540355         8.210789359         30.46864423
 -12                   0.13         5.283863111         8.789878577         32.22755892
 -12                 0.1325         5.647987837         9.335130399         34.07971198
