C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        92      0.70786      0.70481      0.37845	  1.27087      1.26704      0.75980
        93      0.70813      0.70515      0.38333	  1.27598      1.27223      0.77237
        94      0.70849      0.70558      0.38805	  1.28103      1.27736      0.78454
        95      0.70867      0.70582      0.39266	  1.28573      1.28213      0.79639
        96      0.70890      0.70611      0.39705	  1.29024      1.28672      0.80771
        97      0.70908      0.70634      0.40134	  1.29452      1.29107      0.81867
        98      0.70928      0.70660      0.40548	  1.29866      1.29528      0.82927
        99      0.70936      0.70674      0.40949	  1.30254      1.29922      0.83951
C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         1      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         2      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         3      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         4      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         5      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         6      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         7      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         8      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
         9      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        10      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        11      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        12      0.00000      0.00000      0.00000	  0.00000      0.00000      0.00000
        13      0.00039      0.00000      0.00000	  0.00032      0.00000      0.00000
        14      0.00513      0.00000      0.00000	  0.00362      0.00000      0.00000
        15      0.01531      0.00012      0.00000	  0.00965      0.00006      0.00000
        16      0.03063      0.00837      0.00000	  0.01771      0.00411      0.00000
        17      0.05086      0.02369      0.00000	  0.02738      0.01102      0.00000
        18      0.07554      0.04440      0.00000	  0.03835      0.01972      0.00000
        19      0.10414      0.06974      0.00000	  0.05037      0.02979      0.00000
        20      0.13624      0.09894      0.00000	  0.06332      0.04096      0.00000
        21      0.17129      0.13146      0.00000	  0.07709      0.05309      0.00000
