                                                                                
      ELECTRON NEUTRINO      ITHETA =  1                                        
     .38621E+03     .13699E+04     .21462E+04     .26747E+04     .31876E+04     
     .35102E+04     .36063E+04     .37386E+04     .38123E+04     .35608E+04     
     .32592E+04     .31690E+04     .30346E+04     .29136E+04     .28759E+04     
     .27320E+04     .27009E+04     .26178E+04     .24769E+04     .24300E+04     
     .23318E+04     .23243E+04     .21449E+04     .20149E+04     .20151E+04     
     .19603E+04     .18647E+04     .18187E+04     .16798E+04     .17559E+04     
     .15897E+04     .15362E+04     .15499E+04     .14642E+04     .14342E+04     
     .13750E+04     .13908E+04     .12973E+04     .12777E+04     .11821E+04     
     .11749E+04     .11473E+04     .11131E+04     .10794E+04     .10644E+04     
     .10014E+04     .99448E+03     .93854E+03     .98682E+03     .92048E+03     
     .17790E+04     .17065E+04     .16027E+04     .14399E+04     .13418E+04     
     .13811E+04     .13327E+04     .12066E+04     .12008E+04     .11457E+04     
     .10626E+04     .10532E+04     .99678E+03     .93852E+03     .89008E+03     
     .87082E+03     .79342E+03     .75640E+03     .78517E+03     .69439E+03     
     .69095E+03     .65097E+03     .62555E+03     .61104E+03     .58018E+03     
     .10726E+04     .10041E+04     .97585E+03     .88240E+03     .77994E+03     
     .77212E+03     .69917E+03     .63540E+03     .62013E+03     .64168E+03     
     .54627E+03     .52206E+03     .51728E+03     .48683E+03     .41819E+03     
     .43758E+03     .38192E+03     .37179E+03     .36380E+03     .35404E+03     
     .31780E+03     .30695E+03     .25984E+03     .27531E+03     .23919E+03     
     .63694E+03     .56612E+03     .46020E+03     .39721E+03     .42602E+03     
     .36167E+03     .32904E+03     .29402E+03     .24598E+03     .24466E+03     
     .20681E+03     .19733E+03     .16574E+03     .17305E+03     .16749E+03     
     .13129E+03     .12924E+03     .10765E+03     .10732E+03     .11847E+03     
     .36222E+03     .25889E+03     .20164E+03     .18050E+03     .13112E+03     
     .10719E+03     .87406E+02     .82340E+02     .42000E+02     .51206E+02     
     .51000E+02     .33187E+02     .33000E+02     .17000E+02     .22000E+02     
     .23500E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA =  5                                        
     .50485E+03     .16550E+04     .24573E+04     .30779E+04     .36120E+04     
     .39986E+04     .40881E+04     .41954E+04     .42469E+04     .40815E+04     
     .37425E+04     .37357E+04     .35409E+04     .34680E+04     .34460E+04     
     .31851E+04     .30838E+04     .30611E+04     .28666E+04     .27381E+04     
     .27569E+04     .27016E+04     .25389E+04     .24535E+04     .23952E+04     
     .23124E+04     .22199E+04     .21617E+04     .21083E+04     .20469E+04     
     .19918E+04     .18700E+04     .18199E+04     .17884E+04     .17684E+04     
     .16830E+04     .16408E+04     .15623E+04     .15661E+04     .15410E+04     
     .14730E+04     .14220E+04     .14021E+04     .12956E+04     .12667E+04     
     .12962E+04     .12235E+04     .11913E+04     .12204E+04     .11182E+04     
     .20889E+04     .20081E+04     .20268E+04     .18540E+04     .17531E+04     
     .17367E+04     .16265E+04     .15496E+04     .15139E+04     .13771E+04     
     .13217E+04     .13110E+04     .12143E+04     .11225E+04     .11313E+04     
     .10902E+04     .10045E+04     .10415E+04     .90495E+03     .87157E+03     
     .84257E+03     .86194E+03     .82615E+03     .75741E+03     .72544E+03     
     .14006E+04     .13545E+04     .12621E+04     .11708E+04     .10388E+04     
     .10579E+04     .88878E+03     .81268E+03     .83345E+03     .82656E+03     
     .74256E+03     .70860E+03     .63270E+03     .57933E+03     .58431E+03     
     .55858E+03     .50538E+03     .51666E+03     .46691E+03     .47185E+03     
     .40614E+03     .35567E+03     .38066E+03     .35942E+03     .36233E+03     
     .79684E+03     .68981E+03     .65187E+03     .54690E+03     .49993E+03     
